Year,Total,1,2+,3+,5+
1986,98004.60,73695.50,2097.40,2334.50,19877.20
1987,98346.30,78198.00,1799.80,2112.90,16235.60
1988,101624.90,82814.70,1728.30,1877.40,15204.50
1989,100697.70,83002.10,1641.20,1723.30,14331.00
1990,86522.20,72310.00,1404.80,1393.50,11414.00
1991,78772.20,69722.70,1169.60,1061.60,6818.30
1992,95539.00,87071.50,1272.20,1126.20,6069.20
1993,106801.00,97118.60,1478.60,1281.70,6922.10
1994,123278.30,109294.00,1813.30,1595.70,10575.30
1995,120810.70,104738.70,1910.40,1713.30,12448.30
1996,134175.80,116535.00,2069.10,1861.40,13710.20
1997,141004.40,121194.50,2304.00,2057.70,15448.20
1998,165265.70,142240.80,2254.20,2282.00,18488.80
1999,181245.70,157123.50,2319.90,2317.50,19485.20
2000,185743.70,160623.50,2376.20,2497.20,20246.70
2001,196247.60,170010.80,2546.60,2563.40,21123.10
2002,219188.70,190433.10,3116.80,2837.10,22801.60
2003,249693.10,218228.60,3805.50,3316.40,24342.60
2004,292413.70,255511.30,3921.90,4029.30,28951.20
2005,329254.50,284452.30,3828.20,4039.60,36934.40
2006,291314.50,245687.00,3493.80,3986.40,38147.30
2007,225236.60,183679.20,2867.80,3012.70,35677.00
2008,141633.40,110687.40,1818.20,1715.50,27412.30
2009,95410.30,82357.30,1098.00,1006.00,10949.00
2010,101943.10,87124.20,1124.40,1206.50,12487.90
2011,105268.50,86326.80,1197.40,1069.20,16675.10
2012,140425.30,110661.30,1479.10,1324.80,26960.10
2013,177655.90,139570.70,1837.50,1543.70,34704.10
2014,194349.70,149633.40,1940.50,1711.80,41064.00
2015,223611.30,166276.90,2138.00,1912.40,53284.10
2016,237101.60,182207.40,2453.30,2091.70,50349.10
2017,258505.40,200599.90,2666.80,2429.20,52809.60
2018,271119.50,210850.00,3086.30,2522.00,54661.40
2019,280534.20,213271.10,3511.60,2692.70,61058.80
2020,307209.90,243423.60,3960.80,2635.90,57189.60
2021,380036.20,295965.10,4877.40,3265.00,75928.70
